,OBJECT,LAT,LON,ALTITUDE,ALT_NORM,NEAR_TEMPLE,NEAR_BATTLE_SITE,NEAR_ANCIENT_HARBOR,NEAR_POLIS,NEAR_MODERN_CITY,CLASSIFICATION
206,Object type: scaraboid,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
207,Object type: amphoriskos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
208,Object type: beaker,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
209,Object type: astragalus,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
210,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
211,Object type: votive offering; relief,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
212,Object type: lekythos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
213,Object type: steelyard-weight,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
214,Object type: mosaic,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
215,Object type: amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
216,Object type: vessel,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
217,Perle / Ring (Glied einer Kette?),37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
218,Object type: wall; temple; block,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
219,Object type: amphoriskos,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
220,Object type: figure,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
221,Object type: waster; bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
222,Object type: jug,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
223,Object type: spoon,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
224,Object type: bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
225,Korinthisches Votivtäfelchen,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
226,Object type: ring,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
227,Object type: model,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
228,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
229,Miniaturdreifuß mit Vögeln als Ringhenkelaufsatz,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
230,Object type: pyxis,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
231,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
232,Object type: stove; brazier,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
233,Object type: pelike,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
234,Stiel von einem Schöpflöffel mit Schwanenkopf,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
235,Object type: alabastron,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
